,m49_un1,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
39,258,13597.81696783982,11895.723005811298,12244.110116632059,12621.721038866173,12998.388238736074,16080.749661782798,17134.069147450307,18163.700488439084,18605.255290387846,18941.837840019325,19628.449676832664
40,262,888.8133670721631,741.1431490803451,692.4438379774804,682.0773200746536,684.3515720341261,718.2885505259134,735.2608807877446,732.4414690574763,737.8812153147973,742.2772595155124,750.1043481715079
41,266,175890.13336790385,175656.23369146875,175414.80800897375,175602.88343653886,175510.9579851011,175232.5209148388,174742.26035485504,174828.04167337262,174928.68843109635,174982.38982023517,174647.01350778373
42,270,61334.1480690294,62006.41626002375,61929.68044250244,62021.807573696846,61935.61053529852,61519.94249944947,61196.83954322887,61356.77204361737,61680.57857451738,61775.60184203271,61530.75709295148
43,288,18067.123860019125,15335.024889377462,15683.60964689969,16410.42706324815,17603.976685144404,18297.880812854815,18383.503686755896,18201.1421081868,17950.463260820787,17974.071208972156,17952.37951440905
44,296,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079,146.4826190171079
45,308,193.80015542622021,194.3694136027081,194.119018969512,193.88859522562018,193.61915705536885,192.62086728814717,191.869251537337,190.14390666078967,191.7344770894657,192.68734411785525,193.00192965662166
46,312,2892.2164939324616,2889.370906930759,2891.2489334662355,2901.321275552133,2900.16369584435,2895.190028236325,2896.467312901706,2897.4210186522087,2901.269617365341,2905.2382146516607,2905.837240392787
47,316,46.327249954252316,46.327249954252316,46.327249954252316,46.327249954252316,46.327249954252316,46.381623248547854,46.25230135660877,45.23607463252892,45.38377470170577,45.99233950088675,46.13735095162033
48,320,24990.913639717935,24546.261859674625,24530.263683687597,24696.3871793313,24709.16458710235,24682.109086938577,24746.53123728394,24883.020785600398,24961.643398908353,24952.3001763133,24955.718805360862
49,324,227537.87842127203,227356.5845275926,225048.9160726287,225922.8662268916,225142.38711056646,224342.77321913012,222555.46634111344,222691.00901532936,222434.1450100589,221434.76827745396,220806.70878036052
50,328,30631.041143916198,30215.37492057492,30051.522149618537,29956.613112745505,29909.128597458177,29473.216332143682,29559.19329848741,29493.385444605985,29266.938547280657,29047.071289269166,28860.627368614605
51,332,16663.582212810856,15854.394564729362,15677.509452009952,15684.849600465466,15495.894360047747,15219.621667869427,15073.89209600793,15121.719195084106,15298.736875232662,15399.428860714901,15383.830033867054
52,340,62448.96919577148,63316.17691389573,63682.56913938551,64032.74332516349,63817.471837133526,62164.03146345707,61621.48041700102,61963.98423158782,62100.194870800646,61299.02846368511,60604.734161990775
53,344,204.1073692169157,203.81768685100835,204.18201941146563,204.19006718964647,204.19140060492253,201.72569670990706,200.88475932314165,201.275345976292,200.7523505087679,201.75731930597797,203.71951227144106
54,356,411118.7266242927,406149.670019775,403223.3001206266,403399.02213091846,402496.3532772163,406178.14379379293,408113.29077740916,408676.3519361287,409494.8515720655,408123.1903008711,403784.4777795081
55,360,3127393.4314427157,3031616.289928179,2992839.9532820988,2983095.058404369,2974955.3487182395,2956625.9391712784,2945652.981201371,2940911.4162900727,2941195.2099646595,2943504.672048167,2953487.8663241453
56,364,14269.076523208036,12312.228508978475,11312.468691642287,11389.466268517172,11468.58951669439,11732.994883420577,11335.535458866085,11248.29634069583,11363.014607458097,11677.825048098424,11176.660497534895
57,384,5789.959948170472,5795.498879920785,5801.993911515111,5808.428695373352,5776.480841201968,5570.950333885795,5454.151473942073,5407.843524879902,5416.995292576238,5440.578136495051,5453.403241219322
58,388,10550.842398950062,10879.32837930387,10898.345510685213,10844.624147854802,10614.441854322315,10124.799427715843,9946.406834638781,9897.966282635376,9924.069968569256,9942.297073890213,9945.038356467127
59,392,1036.0042712306044,1030.1144197465414,1024.841330688474,1022.7870900395484,1019.3515463589615,1016.0794038678054,1010.9286165110454,1007.8994183835435,1017.3371966494472,1029.5596830782586,1031.1321361668317
60,404,55025.95287434845,54412.65952342626,54129.995954357524,54376.037559245335,54444.21617179676,54165.49074742581,53882.88643501773,53985.395742406734,54359.09225867328,54556.66209803828,54460.808265021275
61,430,18676.36080388566,18821.118314917985,18829.340599468447,18851.93953495296,18867.53337111443,18822.446377745873,18730.83958143936,18745.968936603895,18684.910658093595,18577.606987230276,18331.023061660024
62,450,282644.2384584439,278986.7078203473,277393.43924167036,277399.5265311588,276997.9872129693,276773.20281910384,276117.8631488796,276291.6278468291,277221.14419672807,277989.483803535,277567.25144198426
63,458,532012.8769191694,530245.8314575214,528512.7344101451,528928.9508683126,528614.4852682032,526419.4607696474,524866.5314821443,525008.2483510857,525716.3278480235,526113.3785676379,525110.0514677861
64,462,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131,97.3440665601131
65,474,1746.846136120731,1744.7458454158595,1745.1762085742803,1750.293244513706,1748.4932311335397,1748.845811862838,1737.6999036301982,1736.4626991698117,1742.1963817389476,1761.0804697932033,1763.5319875806724
66,478,323.26867700987464,316.57708142618907,309.37857727338053,302.75788110063337,293.9019493831774,312.1723954417731,296.19975450809875,289.80310307504226,284.3139042773194,316.05986357000427,341.84241799629854
67,480,552.9332163739773,456.8819985593617,440.4309453393436,432.8459009113355,427.21660775629255,423.71223974501936,421.75148008281724,415.310932689223,417.7660301272799,426.6673522666961,431.72288348428344
