,m49_un1,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
11,92,9.044244273475737,11.37261543736883,9.894484725792767,9.267551559680864,8.103201355966284,7.565825566794852,9.312295764436392,8.417077684689412,9.089659416067724,8.687452309984875
12,96,63.11400189362475,113.24756594718859,104.82828526984808,117.47944335597298,160.65586767023274,182.29092115221843,180.40998083043814,154.58996159120642,133.75358028279499,164.65196094524273
13,104,34647.17880791859,44781.29664473326,43664.39291327841,48010.470749690736,59905.60492857811,61991.85387489639,61254.97861957305,63926.780095604714,64457.96649697628,58358.99549381027
14,116,1797.8099457213748,2559.8405080241746,2758.9696521611213,2881.9953852975696,3251.1477542495245,3334.139588514545,3295.5888571386845,3163.4766040600043,2965.729020402703,2616.3956330102596
15,120,604.6941792869027,1148.2567659470778,1247.4000156510413,1316.0297991093432,1341.6675605088217,1681.174136395331,1835.5299122711788,1889.8212859127477,1776.871985546981,2101.025184350986
16,136,98.02990153680105,128.0004840020726,130.63166341451338,138.43459319073423,157.9693831154596,165.01599063145247,164.1678225511639,161.4908245870883,161.35653847138713,167.46717899351313
17,144,2974.6707645790457,5573.184724732404,6591.370761752657,6922.8612055297635,6340.761828250768,5633.950855758924,5364.470877498519,5459.832170050661,6172.178571762581,6799.186462154046
18,156,3746.0375495149315,5244.22045721309,5565.985882521212,5105.22552012194,4261.279558757097,3853.9501451479296,3943.9747682516536,4485.190246283673,4907.222670323456,5160.387340933636
19,158,2.6624378393970964,3.9096626623370785,4.943045873633159,4.257136442057659,5.75894829758925,6.019548765157335,6.445857450341843,7.74027469205853,8.349069691650122,7.232402373485204
20,162,7329.979922745118,11074.81951845959,11476.221103047688,12147.538693137067,13208.506428735604,13918.403110567295,13614.23255661686,13018.281012760977,12851.959512591311,13515.211201161661
21,170,11931.734619524583,14924.615650766531,14368.882800747595,13711.689797736564,14853.313897706756,15605.531038634286,15859.477833867066,14999.19065023852,14023.841931713343,13650.941440365104
22,174,0.18452178639755545,0.5074925800450591,0.69206565781072,1.1534329816861835,1.891844519166763,2.2150085821686103,1.799945230808667,0.9227892510507887,0.6460059042694745,0.3230882097670942
23,175,5.710364580524361,7.137731503700509,7.8284713659426535,7.551629129429985,9.208135239688751,9.622361217442595,8.61007488535418,7.090594094582772,6.491563150434022,9.71413674676933
24,178,16.5234977573665,27.067518456167715,28.291071207423865,30.172213833479034,36.24278856168765,40.90218915163513,43.25601582210341,43.25726342708232,39.96376602107945,43.44620671774205
25,180,155.85786571797848,281.43667687801315,281.060836257648,324.29805750352523,336.3627414602201,366.2202556317286,371.66632946382526,369.177906762009,377.7216893373672,423.53949930365746
26,184,700.9917079854395,945.4668431877121,914.1254731589182,960.5667250447295,1010.785186867014,1048.8746296058735,1085.23375836871,1039.591436602475,1113.999955781378,1242.7250215991799
27,188,607.6951762004493,925.5175444948698,999.830760344453,1080.8472773236208,1243.5036407103744,1292.1252487595161,1310.3315513931868,1414.2216796050316,1769.7446640404098,2159.7630049455734
28,192,19015.904275034096,25541.131505651778,25770.885954001227,28386.878442777866,35120.984297999144,37601.99378739664,36912.84971478971,35594.86426650862,35867.62679541354,36322.99270659908
29,204,607.9920052224934,806.4281205189722,764.7624862448799,579.3104152952791,461.36077217997416,381.4711937445344,397.6997242268,390.0185996397088,405.83203326115483,463.12180618571114
30,212,0.04550256464902053,0.04550256464902053,0.04550256464902053,0.09100512929804105,0.09100512929804105,0.09100512929804105,0.04550256464902053,0.04550256464902053,0.0,0.0
31,214,288.9724773487147,457.1590491278764,508.46011525834484,688.1701330398764,836.5047124340704,928.0860213047764,913.8082476415364,863.2152986437077,799.6469156695428,773.4556091625673
32,218,7499.960003335057,11409.677163445212,11980.766190532551,12383.351036370314,12358.270626986154,12603.583743321911,12553.88366670661,12339.560525006185,11944.695554221245,12111.09632697711
33,222,236.16504186252678,369.3082458674164,360.81047461309214,346.61084443987556,387.0084453204562,389.31381507282856,366.14697990999866,384.16577741915364,526.315724724831,700.64861152993
34,226,48.03284986225726,119.84535736366337,100.78257484588431,90.35446833437435,104.79165953332416,188.02165667874982,223.36183677251583,220.34198592319368,175.51601281314743,176.55211139863258
35,232,1178.874719731189,1677.861140428269,1630.9757157390939,1652.1986513908498,1621.4356934554046,1657.0720672357907,1574.5239774768177,1555.0008111316142,1631.4050851338516,1673.263818404719
36,242,354.46441091424487,578.1752524066301,617.3251543053404,607.233865889006,567.002585571345,542.5972713217811,551.2731648221638,621.2339266996286,744.0005367654007,865.0062169958608
37,254,3449.2827482396415,4084.849165864048,4145.113155423537,4230.036242641243,4262.549263162637,4344.341932220406,4428.587171215135,4581.259659502173,4839.071952131339,5028.420440768672
38,258,3231.9807950274544,3367.943487043046,3316.718118524833,3208.4434420329067,2710.1250877310977,2608.5350937690955,2503.849680379599,2409.4033433203003,2416.4700012208095,2468.795319969256
39,262,155.10218644618573,205.89806331211184,218.12483067138433,217.18535487709207,192.02189875735544,179.19783891170232,181.44464523168938,176.95717333239853,172.84581355033492,165.68600531351396
40,266,919.058490664624,1457.6857793211477,1404.0162179035167,1394.425687867154,1500.558632853778,1843.9184404756857,1813.7175828080276,1797.7693159356065,1881.679586240433,2233.1132329328466
41,270,675.7175460979522,1190.8030170264165,1181.5342523450172,1272.3639395709006,1562.378118072671,1895.720635088532,1835.7622905991248,1687.3953125731973,1609.2850210442407,1832.3977323864608
42,288,3715.3203064266854,4378.896343642143,4001.750236372548,3171.2093382759244,2620.607329149137,2502.9745444731143,2567.9617190709805,2729.1585871203856,2782.322696539217,2989.721160440635
43,308,1.5225373491936978,4.197984131840027,4.428350988208495,4.935941841678326,4.935905069583017,5.259519539308901,6.366621103741519,5.490101954753296,5.536145266357922,6.505066419530566
44,312,27.4757214403379,33.823820450054434,31.556473459734878,30.423601372181917,26.8897897517732,24.396542402652248,23.4896400644504,20.903777371212712,23.80481109047531,29.607745930232028
45,316,0.0,0.0,0.0,0.0,0.22970717683426098,0.6431047458889738,1.4699487409206482,1.6536810642143813,1.424014860457597,1.5158114889853973
46,320,793.3821770575307,1017.6871085229922,928.986010648775,835.6809715056554,801.8794619081173,757.2197968139518,650.1669099424719,626.3975314578377,766.506553271224,872.9235083088743
47,324,2818.0393935738857,6046.921488782436,5685.109737867988,6129.791669356174,6748.51721788897,8272.99160621626,8503.83591544583,9048.913070513943,10470.717216752877,11405.342433679956
48,328,1325.1810049418968,1682.3479268705935,1835.6514380585072,1970.6441246940185,2607.9028961285358,2804.5359284717056,2945.2903848562028,3192.82963137423,3421.4093774634784,3790.272571673898
49,332,995.4893322878564,1208.2515275863266,1210.810768814331,1400.3397608342452,1680.0471481406228,1831.0070630077796,1788.629801603173,1653.1994929164698,1584.9412894381726,1605.4136787362663
50,340,1617.989829607297,2314.5660226441996,2208.810522718756,2059.6868594219877,2165.1528557223573,2231.942402746986,2072.943148882039,2092.596468718295,2877.196593306995,3600.57129679071
51,344,0.8301464460081437,0.9612221912174205,1.2234047912024275,1.2671108320050841,3.102280495582506,3.582918833034024,3.102258705957637,3.6702956067494577,2.665326809539372,0.5680146991252695
52,356,18853.042251859486,24878.10440486372,25804.383306443677,27143.40175705625,25670.769814332736,26175.94540936868,26085.26150567103,26177.737804768745,27802.240121988903,31377.571502114934
53,360,119629.39900209653,168650.38157084663,180930.70568188312,190484.4143034427,213057.76036707475,227260.4365617814,235170.39962760714,239422.79162302954,239875.91431006894,229766.64022170802
54,364,2131.7974042769456,3211.1567494174956,3153.6976191076265,3082.23532441567,2895.5443648319633,3272.571970722821,3366.205197870665,3366.0416008161774,3194.274970220058,3674.3104962477832
55,384,119.40088279327283,196.94325342607073,208.73293024441418,228.6640085985903,386.5066738895938,482.9010349453203,527.8996034971585,530.6726693361786,518.9641639435124,515.0097134315992
56,388,37.616910042940376,83.38906226402722,116.13565304036554,241.51378224720327,554.8212540809639,680.9316474141549,713.6537293521244,693.5232889835415,690.0741271311749,700.865307784486
57,392,17.455393973765908,31.11005007215059,36.00994013594853,38.84168495178314,39.443512587735626,42.12980764092231,42.132335931569386,33.6285096833828,28.094454554827216,31.158110210456886
58,404,1225.0440335824999,1878.657079444165,1753.4344994023838,1689.2438346608117,1876.689565162982,2085.141177421443,2024.9737952507537,1870.9189718717587,1934.3022248056304,2155.584469733521
59,430,194.43947715468977,317.4847284348713,325.6071267093623,323.8377048670101,355.739291794466,440.6588160381627,437.90521254590635,495.5040280707968,588.7003723427956,815.0308423209033
60,450,6801.477419767599,9283.41964385458,9509.967436455148,10066.25626769465,10878.559578263417,11925.248468813206,12183.056001894853,11777.805024126072,11450.296827381273,12154.466803242598
61,458,6347.541371025925,9917.363447096272,10009.224062062916,10503.76656881957,13171.003928109836,14953.846920729564,15265.961101224973,15402.00843516723,15947.546772740601,17085.126395255033
62,474,14.449010362611519,28.439456017922353,27.752977790175393,27.478751673870637,25.14719267211317,28.987796324154225,31.6855300897527,29.674284289068595,24.6907619582871,29.307998554199557
63,478,24.596701038635405,36.98861616242476,43.799598138747406,52.2399665696938,43.887924066276355,58.50040380098594,63.401584352207465,66.92581878446067,42.90078365285852,33.00973462337402
64,480,103.50308658824615,121.55418456771878,129.09371494560315,134.95144741907018,140.10054667352574,141.832172001799,147.7711811285538,145.86522184145318,139.6145223527472,136.11299768900136
65,484,33793.49297365267,52719.67580261361,60455.68982200785,62443.52100015541,65474.932092404044,65156.4835277388,62122.64645903427,55746.732492563366,55663.51803538031,65591.71095786977
66,508,5846.775790986938,11808.09227682283,13487.962703728092,14237.835281450029,14751.086089448147,15400.885019156653,15315.376517140183,16883.051959795215,19571.467169859363,23326.108356861976
67,512,28.91610960627505,42.59813479271954,41.01889535753055,39.70947006984099,37.715508699182585,38.869439818431886,41.80647237398931,40.452209685853944,38.010048881835495,34.39011306719379
68,531,0.0,0.0,0.04617634867232147,0.0923538551360794,0.0923538551360794,0.13853117490615172,0.09235370578031582,0.09235370578031582,0.09235370578031582,0.09235370578031582
69,533,1.3832085611588563,1.936491090279346,1.8903835501018096,1.6598487421565447,1.5676416095771735,1.5676416095771735,1.5676416095771735,1.7981753733315224,1.7981753733315224,1.6137480303681238
