,index,m49_un1,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
32,60,218,3473.038611291282,5421.986424898252,5320.972873907419,5476.657499540196,6369.550690000499,6884.540462323978,6843.983005299165,6807.303497335979,7533.043262832918,7809.7533545208435,9659.707187198826,14695.297101629927,15430.841394803874,15949.35772383324,15917.054963461407,16233.01036481407,16168.998265139982,15892.956954073521,15384.383575739743,15598.702417417631
33,61,222,518.9623683712489,876.3264629250305,881.2313480601371,719.9882973184485,417.375785767829,312.3672662156347,483.0382500795113,500.50686654480637,411.4646064456808,462.8507896621687,304.172975753221,475.6571388795313,464.7122829037574,446.4236160870288,498.4544263044444,501.42366837456746,471.5855300341593,494.7931615050561,677.8777202277676,902.4128696002306
34,62,226,101.12501356731741,175.69331568350395,237.7431057087431,235.251365024954,217.62731110121751,180.98122891635373,175.93689170955608,144.3947370967685,147.91911947754792,172.71467402074316,61.86476525605018,154.3569644855975,129.80471391184568,116.37364822972015,134.9682860045143,242.16584455931942,287.6828595163126,283.7933887804028,226.05897760597685,227.39343924955992
35,64,232,84.49311139885742,125.74429432603695,137.75003761236266,151.06243520624733,167.49412190846792,181.292465234531,196.2702510987114,204.23714048863494,183.34282412351112,159.84561839310842,1518.3527109385354,2161.031166847478,2100.644248298112,2127.9787066095646,2088.357006528981,2134.2555094248664,2027.9362256447257,2002.7910155132347,2101.197262264408,2155.109963991328
36,69,242,399.9288762235265,801.4891185437137,997.9602884789474,1007.7061861661427,1194.3425682868024,941.0619988516395,976.8311466579082,979.0970006406488,1302.165568188974,1383.1383428277315,456.53875703229704,744.6711233992315,795.0949374703646,782.0976826583368,730.2810879749105,698.8478284165226,710.022100114472,800.1293105568129,958.2487545369191,1114.1001775437464
37,73,254,5413.289137366111,6338.85948029946,6665.512854695251,6651.1128426360465,4950.409502615995,4766.352256762463,4176.4375299115745,3799.0737338896893,3403.525111840088,3305.293395036105,4442.565205552453,5261.154303299461,5338.772382971649,5448.150587067565,5490.026311453879,5595.372637675109,5703.87779506832,5900.515048032075,6232.568986313177,6476.443747746832
38,74,258,1911.667909778369,2516.8865149837807,2924.721118037956,3260.0906127608855,6488.9779431535935,7678.210171864701,8833.975036253836,9267.703923403542,9697.110300456876,10620.448169089515,4162.687281096498,4337.802854068871,4271.8262274972285,4132.371927709551,3490.5539198239376,3359.7092760677224,3224.8778316781886,3103.2339881789408,3112.335616198379,3179.728943277734
39,75,262,9.2866055803943,11.906366338860504,14.230838393501855,15.898706046634313,26.861648411132357,32.0451137921277,31.329615518536876,32.51952858418666,32.875255593408134,33.709054889307055,199.76662602177075,265.1900811633531,280.93776414886946,279.72774955168643,247.31802765630383,230.80105116509074,233.69486541846962,227.91514598814513,222.61984686410975,213.39824420843826
40,76,266,856.1392189361196,1227.507061954861,1395.453720268443,1268.604570430779,1053.3021964857592,869.7425709270502,939.1930564961089,1045.027934916317,1216.980387670022,1237.0448067649193,1183.717766998945,1877.4523854693361,1808.3277170805497,1795.975422950967,1932.6712414659967,2374.907626727473,2336.0098937072817,2315.469039081072,2423.542767578677,2876.177997802389
41,78,270,1684.3736548715615,2232.1128389772966,2335.6483926555134,2341.4371123894857,2184.426514187394,2197.2213427722954,2322.143906662098,2541.3641496900245,2562.4977347073045,2535.342497951441,870.3024594339483,1533.7159740842742,1521.7781033796896,1638.7638182524001,2012.2927495023503,2441.6271867507094,2364.402768095234,2173.3108738261017,2072.7073313884166,2360.0693253656505
