,gmw_fid_uid,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
18,80,5737.69206932472,5739.904796603054,5744.799316242326,5750.993992590375,5709.217552067974,5448.695173794698,5299.712126704404,5241.391134177332,5253.386288510738,5282.880035428224,5294.4547975952855
19,81,195055.80160587156,195675.68304138788,195491.97436331527,195459.47156466456,195570.17908879713,195703.42449336522,195060.9503861947,194689.81147378247,194606.96021275793,195031.9223821782,194812.5665171703
20,82,22039.819511078887,22027.180884354435,21929.04628041977,21918.283806661475,21826.67931362409,21824.321825324754,21800.6201803998,21810.958813979232,21836.95889360921,21896.214698660264,21853.044269892183
21,83,2048.9490016299633,2050.585087317741,2045.372178469667,2047.7376423916169,2042.405527980462,2028.2816616837003,2020.4617557660288,2019.3097540259819,2024.8864921146273,2037.2532882914766,2035.9818069830785
22,84,1.0249971170910732,1.0249971170910732,1.0249971170910732,1.0249971170910732,1.0249971170910732,1.0249971170910732,1.0249971170910732,1.0249971170910732,1.0249971170910732,1.0249971170910732,1.0249971170910732
23,85,268656.72664580366,257897.75700501533,256310.4888517695,257274.62425449255,258219.46400219577,256715.0707976564,255729.55156262367,255641.20395114477,257386.25060181637,258816.88514473021,258797.02382874352
24,86,80.29569688769824,80.7712207208851,81.1278972677138,81.00936950448545,80.59345192490653,79.7018048851068,79.64215485492986,79.5822309876824,80.47410783459647,80.4741056695651,80.29586995591909
25,88,37363.127729620566,37755.55499019092,37730.77419365269,37788.19016129788,37752.033969512115,37603.33196894424,37566.67044704077,37555.54288058908,37323.90330958888,36764.75194518841,36306.04666972696
26,89,351810.67967914353,334816.45452599134,329150.55746101355,329113.4051247884,325985.8273845612,318075.0685878356,315447.17060727865,316527.88762053795,318785.3188834748,319170.8893713076,319007.19172190456
27,90,39.71691554761833,39.71691554761833,39.71691554761833,39.65744189616549,39.59796675351452,39.59796675351452,39.538491851319016,39.59796694587994,39.59796694587994,39.59796694587994,39.59796694587994
28,92,4417.483085904016,4306.3288363932315,4272.263076853745,4267.151647515515,4255.492916306535,4228.149949687688,4217.523213083905,4218.156586242694,4222.869823153047,4227.868534856731,4219.711666726696
29,96,772.1888974515088,634.1770689761404,576.970874658757,565.2162046311045,565.8888721539906,601.7509225930814,611.2971140093731,605.8414193233643,608.402889050893,613.5159496816225,619.2850817962403
30,97,1.2893329174945718,1.230727078186006,1.230727078186006,1.230727078186006,1.1721212388774405,1.1721212388774405,1.1721212388774405,1.230727078186006,1.230727078186006,1.4065445961117025,1.465150435420268
31,99,19383.69535450995,19389.859943161464,19246.051276089438,19202.394710182893,18951.697608977538,18744.892014537003,18615.226452499362,18627.01798965159,18702.26883189461,18787.240423663094,18830.69466198588
32,101,157079.6135105387,150976.07127542933,147825.41715785407,146966.2981137857,146571.67789792814,147323.4287596606,147369.74052620868,147296.33451101455,147516.07862535416,148705.09878079864,148717.42559109913
33,102,4049.308178872916,3483.3919217881858,3222.2143315944254,3263.014366370971,3240.9470221053457,3267.812429608558,3238.762653660722,3274.978446448317,3302.5019357746824,3286.073214494064,3251.737954369764
34,108,46109.0716033817,46074.7972952194,46142.34267759522,46233.5550981434,46240.81096588975,46425.29434007173,46279.81182973886,46331.96237781315,46286.061460335375,46405.53571495158,46307.18344417066
35,112,6879.852733085218,6674.835511377817,6660.263029341025,6649.793296217711,6830.160934486215,6870.219744013481,6870.219744013481,6870.219744013481,6870.219744013481,6650.382196876917,6631.554148510821
36,113,169608.92348174247,169292.22092206485,168976.05300824557,169209.6586519816,169126.82649925558,168786.86298147243,168189.69592756362,168293.9124848332,168403.4554441443,168464.0524426386,168104.8436975075
37,117,18063.49466014244,14507.287853364549,14917.367344088863,15839.990196339151,17363.41815571217,18254.66305319425,18365.567506363917,18134.65673234749,17814.32099757129,17840.809990085374,17804.89027949018
38,119,219544.13622460925,219171.53781425577,216308.71589010474,217326.98235837067,216532.7677447633,215478.62810155732,213166.8100782336,213297.77930724566,212889.44861569052,211575.36454588993,210818.8497334044
39,120,2892.2164939324616,2887.605198049648,2889.707994203635,2902.3809846673375,2900.9780566945637,2894.8989838340085,2896.5908017672486,2897.817345938052,2902.7257038840335,2907.5732034123657,2908.098770748661
40,121,60700.99560062069,61516.30056286471,61405.652783977566,61522.36975925542,61426.322026771915,60897.14643427632,60479.83786815783,60680.38691850967,61083.06761553929,61179.42738992303,60856.57099331351
41,122,256499.0640189897,257422.39248876274,254160.18991269125,252580.65947562407,252541.96611646956,252946.83463749793,251165.29204026228,249966.72111658345,250876.3447977348,251897.31042159567,249527.8257216913
