,m49_un1,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
17,136,4417.483085904016,4306.3288363932315,4272.263076853745,4267.151647515515,4255.492916306535,4228.149949687688,4217.523213083905,4218.156586242694,4222.869823153047,4227.868534856731,4219.711666726696
18,144,25861.24537318539,22852.23566039447,19902.213402737918,18367.230480876777,17938.399695490127,18738.102490067093,19701.905539784246,20019.30743967573,19792.532614518997,18742.760344202252,18119.10582988985
19,156,24531.511721547537,21884.29612450285,21060.51261797313,20380.89650703785,20096.27842169878,20683.790602514986,21232.946519121728,21340.02210499166,20981.282224450388,20920.720834960906,20657.246359997433
20,158,21.669698949203315,23.25497694630578,23.868421575231412,22.595296799916042,22.405419913709622,22.729814777263442,23.21808875746177,21.893621586101833,16.180865065131318,12.07772180810584,13.515564432553301
21,162,171874.4736227437,166868.1117799728,164232.5191503696,163989.03762137235,162834.19213378383,161128.48270576622,160054.02484329106,161025.44480420172,162385.6957934634,162721.89184504043,161559.04062875098
22,170,288018.3312507837,277143.3019417169,275517.7543420664,276508.01888617646,277449.6352742003,276191.0211844968,275238.20472090255,275210.043333785,277186.3588335741,278753.9005316413,278411.64335954125
23,174,96.69653054701747,97.82565373729439,98.53877991463492,98.59849868030915,97.11299440295758,95.15167399084697,94.61660533922144,95.56693627136116,98.00402169556048,98.18226596286567,96.99379098716763
24,175,464.7185642749494,476.69375987023864,482.8604041680338,482.3868919849292,480.31296474786967,467.26999067600684,461.7558158330199,463.5929910620078,469.3453319408532,470.94750865918144,463.59500482799774
25,178,2048.9490016299633,2050.585087317741,2045.372178469667,2047.7376423916169,2042.405527980462,2028.2816616837003,2020.4617557660288,2019.3097540259819,2024.8864921146273,2037.2532882914766,2035.9818069830785
26,180,23799.53602829059,23801.3480287757,23709.803133179204,23697.951937715403,23593.831735379095,23580.833701418138,23555.137086957522,23575.995983407072,23609.00932104964,23684.227577646074,23637.490225525242
27,184,20142.097791597174,20681.763098740434,20678.64798061324,20824.703701646864,20847.935678478443,20861.76418228603,20970.216734644964,21002.737219206392,21133.73468131056,21121.587217632296,21000.875226701886
28,188,37939.13240826286,38336.64654186914,38302.06009409295,38342.73451088759,38283.40783737838,38132.59626263068,38101.555418656266,38106.85410182941,37871.39281508252,37286.588629777354,36821.18257599239
29,192,388882.3853537853,369208.1350673314,362808.105750855,362933.7088724112,359362.4868670728,349888.458042128,346532.1517627746,347747.81197486125,350635.7572344924,351378.8646314979,351014.7115798757
30,204,2930.415809269414,2249.0908913668454,2106.380707872935,2296.8470599976467,2636.8543478357014,2844.1795843228365,2968.6427861078755,2952.936719738673,2944.338877373355,2917.507900104141,2866.8008824192552
31,212,1.2893329174945718,1.230727078186006,1.230727078186006,1.230727078186006,1.1721212388774405,1.1721212388774405,1.1721212388774405,1.230727078186006,1.230727078186006,1.4065445961117025,1.465150435420268
32,214,19658.46815040222,19618.591806528013,19471.61287987966,19430.833254100988,19175.893181262578,18964.551894806522,18829.72168776718,18839.846544474316,18920.267006157206,19010.80277745767,19057.983035487974
33,218,159407.24966549742,153220.58108958983,150133.93898876576,149297.38114460098,148934.54944120438,149859.74539203657,150058.7797630073,150082.23440565667,150321.59620875987,151555.90935259062,151618.30060260065
34,222,37443.75704055164,37658.546433169664,37844.42636459713,37860.27610570801,37717.32172178306,37362.678400015015,37254.7006383927,37455.20976059699,37449.47074559138,37177.34392676955,37004.194960613575
35,226,25662.099627610438,25701.359875921702,25683.435978808342,25770.03801940733,25780.977344405666,25744.75865270714,25600.91501196748,25550.353659803677,25522.700975926797,25583.959769482008,25607.420862381612
36,232,9336.638148017812,7902.778548478135,7301.351275496373,7373.743937332064,7359.721876614496,7415.7752633973005,7383.675103827479,7504.972173471799,7538.084272993215,7418.783709876918,7341.373802419594
37,242,48571.46756890084,48514.85768809205,48628.285564045305,48774.332919909415,48797.076072408636,49035.529049212724,48813.68173933595,48838.276615444265,48750.435258984675,48915.38438255289,48840.5057341848
38,254,53820.17551458157,54790.89944639521,54897.88069158158,55146.91598630516,55023.137770150046,53280.55870574368,52991.15513366893,52292.73524942483,51718.734200439176,50991.13164010847,50649.02516187084
39,258,13597.81696783982,11346.797596521696,11776.900628754738,12250.711858380553,12725.53565289116,16596.24099116948,17916.31786363681,19206.914172415472,19762.286903064432,20182.591652098326,21038.53619365161
