,region,name,1996_count,2007_count,2008_count,2009_count,2010_count,2015_count,2016_count,2017_count,2018_count,2019_count,2020_count,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
10,BRN,Brunei Darussalam,180585,180868,180542,181167,180882,180080,179400,179470,180312,181672,181124,10938.904568788383,10956.046548571181,10936.300897030478,10974.16079683034,10956.8977025468,10908.314750394038,10867.122899402164,10871.362690847844,10922.366448750125,11004.749401445479,10971.555497010795
11,KHM,Cambodia,1083261,1047246,1033765,1029214,1026938,1019332,1018340,1019814,1023023,1029486,1040360,64641.058141873815,62490.45072153004,61685.66687145371,61414.12689058415,61278.54505914876,60824.7979602681,60765.82964298928,60853.773852372266,61045.502192091124,61431.357137477105,62080.66349904422
12,CMR,Cameroon,3243543,3258241,3256593,3256748,3260137,3267764,3259072,3253460,3253112,3261013,3255634,196617.57624338835,197508.45389356173,197408.63168722077,197418.07796630368,197623.69914814946,198086.043696394,197559.20776292862,197218.98291411827,197197.71227894162,197676.55692852772,197350.7853799294
13,CHN,China,432292,386441,372509,360562,355720,365920,375182,376819,370270,369125,364414,24522.123195306736,21912.984000617136,21112.6431796988,20440.26689777527,20176.710943018134,20770.2374463389,21297.64646559338,21390.623953523234,21017.681505788605,20954.461752715426,20681.518471061823
14,COL,Colombia,4766534,4584688,4557633,4574094,4589903,4568855,4553053,4552508,4585395,4611575,4606244,288018.3312507837,277143.3019417169,275517.7543420664,276508.01888617646,277449.6352742003,276191.0211844968,275238.20472090255,275210.043333785,277186.3588335741,278753.9005316413,278411.64335954125
15,COM,Comoros,1627,1646,1658,1659,1634,1601,1592,1608,1649,1652,1632,96.69653054701747,97.82565373729439,98.53877991463492,98.59849868030915,97.11299440295758,95.15167399084697,94.61660533922144,95.56693627136116,98.00402169556048,98.18226596286567,96.99379098716763
16,COG,Congo,33802,33829,33743,33782,33694,33461,33332,33313,33405,33609,33588,2048.9490016299633,2050.585087317741,2045.372178469667,2047.7376423916169,2042.405527980462,2028.2816616837003,2020.4617557660288,2019.3097540259819,2024.8864921146273,2037.2532882914766,2035.9818069830785
17,CRI,Costa Rica,632560,639181,638601,639277,638288,635775,635257,635345,631419,621663,613893,37939.13240826286,38336.64654186914,38302.06009409295,38342.73451088759,38283.40783737838,38132.59626263069,38101.555418656266,38106.85410182941,37871.39281508252,37286.588629777354,36821.18257599238
18,CUB,Cuba,6885441,6537487,6424297,6426679,6363621,6196188,6136899,6158557,6209796,6222952,6216411,388882.38535378524,369208.1350673314,362808.105750855,362933.7088724112,359362.4868670728,349888.458042128,346532.15176277456,347747.81197486125,350635.7572344924,351378.8646314979,351014.7115798757
19,CIV,Côte d'Ivoire,95598,95637,95722,95847,95175,90834,88363,87379,87566,88060,88327,5789.959948170472,5792.293819666727,5797.430557144406,5805.018181554131,5764.332048798516,5501.447499218895,5351.798251007934,5292.20540790857,5303.534447059323,5333.452188072462,5349.629706421801
